7zip	23.01+dfsg-11
aardvark-dns	1.4.0-5
accountsservice	23.13.9-2ubuntu6
acl	2.3.2-1build1.1
adduser	3.137ubuntu1
adwaita-icon-theme	46.0-1
alsa-base	1.0.25+dfsg-0ubuntu7
alsa-topology-conf	1.2.5.1-2
alsa-ucm-conf	1.2.10-1ubuntu5.10
alsa-utils	1.2.9-1ubuntu5
amd64-microcode	3.20250311.1ubuntu0.24.04.1
anacron	2.3-39ubuntu2
apg	2.2.3.dfsg.1-5build3
app-install-data	15.10build1
apparmor	4.0.1really4.0.1-0ubuntu0.24.04.5
appstream	1.0.2-1build6
apt	2.8.3
apt-transport-https	2.8.3
apt-utils	2.8.3
aptdaemon	1.1.1+bzr982-0ubuntu44
aptdaemon-data	1.1.1+bzr982-0ubuntu44
aptitude	0.8.13-5ubuntu5
aptitude-common	0.8.13-5ubuntu5
aptkit	1.1.2
arp-scan	1.10.0-2build2
aspell	0.60.8.1-1build1
aspell-en	2020.12.07-0-1
at-spi2-common	2.52.0-1build1
at-spi2-core	2.52.0-1build1
attr	1:2.5.2-1build1.1
avahi-autoipd	0.8-13ubuntu6.1
avahi-daemon	0.8-13ubuntu6.1
avahi-utils	0.8-13ubuntu6.1
b43-fwcutter	1:019-11ubuntu0.1
baobab	46.0-1build1
base-files	13ubuntu10mint22.3.0
base-passwd	3.6.3build1
bash	5.2.21-2ubuntu4
bash-completion	1:2.11-8
bc	1.07.1-3ubuntu4
bcmwl-kernel-source	6.30.223.271+bdcom-23ubuntu1.1
bind9-dnsutils	1:9.18.39-0ubuntu0.24.04.3
bind9-host	1:9.18.39-0ubuntu0.24.04.3
bind9-libs:amd64	1:9.18.39-0ubuntu0.24.04.3
binutils	2.42-4ubuntu2.10
binutils-common:amd64	2.42-4ubuntu2.10
binutils-x86-64-linux-gnu	2.42-4ubuntu2.10
blueman	2.4.4+mint2+xia
bluez	5.72-0ubuntu5.5
bluez-cups	5.72-0ubuntu5.5
bluez-firmware	1.2-11ubuntu1
bluez-obexd	5.72-0ubuntu5.5
bolt	0.9.7-1
brasero-common	3.12.3-2build4
bridge-utils	1.7.1-1ubuntu2
brightness-udev	0.5.1-3.1
brightnessctl	0.5.1-3.1
brltty	6.6-4ubuntu5
broadcom-sta-dkms	6.30.223.271-23ubuntu1.1
bsdextrautils	2.39.3-9ubuntu6.5
bsdutils	1:2.39.3-9ubuntu6.5
btrfs-progs	6.6.3-1.1build2
bubblewrap	0.9.0-1ubuntu0.1
build-essential	12.10ubuntu1
buildah	1.33.7+ds1-1ubuntu0.24.04.3
busybox-initramfs	1:1.36.1-6ubuntu3.1
busybox-static	1:1.36.1-6ubuntu3.1
bzip2	1.0.8-5.1build0.1
ca-certificates	20240203
cabextract	1.11-2
captain	1.1.2
casper	1.498
catatonit	0.1.7-1
catfish	4.16.4-2
celluloid	0.21+mint2+wilma
cheese	44.1-1build4
cheese-common	44.1-1build4
cifs-utils	2:7.0-2ubuntu0.2
cinnamon-desktop-data	6.6.2+zena
circle-flags-svg	2.7.0+mint1
cmake	3.28.3-1build7
cmake-data	3.28.3-1build7
code	1.113.0-1774364744
colord	1.4.7-1build2
colord-data	1.4.7-1build2
command-not-found	23.04.0
compiz	1:0.9.14.2+22.10.20220822-0ubuntu12
compiz-core	1:0.9.14.2+22.10.20220822-0ubuntu12
compiz-gnome	1:0.9.14.2+22.10.20220822-0ubuntu12
compiz-plugins-default:amd64	1:0.9.14.2+22.10.20220822-0ubuntu12
compiz-plugins:amd64	1:0.9.14.2+22.10.20220822-0ubuntu12
compizconfig-settings-manager	1:0.9.14.2+22.10.20220822-0ubuntu12
compton	1-3
conmon	2.1.10+ds1-1build2
console-setup	1.226ubuntu1
console-setup-linux	1.226ubuntu1
containerd	1.7.28-0ubuntu1~24.04.2
containernetworking-plugins	1.1.1+ds1-3ubuntu0.24.04.3
coreutils	9.4-3ubuntu6.2
cpdb-backend-cups	2.0~b5-0ubuntu6
cpio	2.15+dfsg-1ubuntu2
cpp	4:13.2.0-7ubuntu1
cpp-13	13.3.0-6ubuntu2~24.04.1
cpp-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
cpp-x86-64-linux-gnu	4:13.2.0-7ubuntu1
cracklib-runtime	2.9.6-5.1build2
cron	3.0pl1-184ubuntu2
cron-daemon-common	3.0pl1-184ubuntu2
crun	1.14.1-1
cryptsetup	2:2.7.0-1ubuntu4.2
cryptsetup-bin	2:2.7.0-1ubuntu4.2
cryptsetup-initramfs	2:2.7.0-1ubuntu4.2
cups	2.4.7-1.2ubuntu7.9
cups-browsed	2.0.0-0ubuntu10.3
cups-bsd	2.4.7-1.2ubuntu7.9
cups-client	2.4.7-1.2ubuntu7.9
cups-common	2.4.7-1.2ubuntu7.9
cups-core-drivers	2.4.7-1.2ubuntu7.9
cups-daemon	2.4.7-1.2ubuntu7.9
cups-filters	2.0.0-0ubuntu4.1
cups-filters-core-drivers	2.0.0-0ubuntu4.1
cups-ipp-utils	2.4.7-1.2ubuntu7.9
cups-pk-helper	0.2.6-1ubuntu8
cups-ppdc	2.4.7-1.2ubuntu7.9
cups-server-common	2.4.7-1.2ubuntu7.9
curl	8.5.0-2ubuntu10.8
dash	0.5.12-6ubuntu5
dbus	1.14.10-4ubuntu4.1
dbus-bin	1.14.10-4ubuntu4.1
dbus-daemon	1.14.10-4ubuntu4.1
dbus-session-bus-common	1.14.10-4ubuntu4.1
dbus-system-bus-common	1.14.10-4ubuntu4.1
dbus-user-session	1.14.10-4ubuntu4.1
dbus-x11	1.14.10-4ubuntu4.1
dc	1.07.1-3ubuntu4
dconf-cli	0.40.0-4ubuntu0.1
dconf-gsettings-backend:amd64	0.40.0-4ubuntu0.1
dconf-service	0.40.0-4ubuntu0.1
dcraw	9.28-5ubuntu1
dctrl-tools	2.24-3build3
debconf	1.5.86ubuntu1
debconf-i18n	1.5.86ubuntu1
debianutils	5.17build1
desktop-file-utils	0.27-2build1
dhcpcd-base	1:10.0.6-1ubuntu3.2
dialog	1.3-20240101-1
dictionaries-common	1.29.7
diffutils	1:3.10-1build1
dirmngr	2.4.4-2ubuntu17.4
distro-info	1.7build1
distro-info-data	0.60ubuntu0.5
dkms	3.0.11-1ubuntu13
dmeventd	2:1.02.185-3ubuntu3.2
dmidecode	3.5-3ubuntu0.1
dmraid	1.0.0.rc16-12ubuntu2
dmsetup	2:1.02.185-3ubuntu3.2
dmz-cursor-theme	0.4.5ubuntu1
dns-root-data	2024071801~ubuntu0.24.04.1
dnsmasq-base	2.90-2ubuntu0.1
docbook-xml	4.5-12
docker.io	28.2.2-0ubuntu1~24.04.1
dosfstools	4.2-1.1build1
dpkg	1.22.6ubuntu6.5
dpkg-dev	1.22.6ubuntu6.5
dpkg-repack	1.52
dracut-install	060+5-1ubuntu3.3
drawing	1.0.2-1build1
dus	26.1.0-1ubuntu1
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
ecryptfs-utils	111-6ubuntu3
ed	1.20.1-1
efibootmgr	18-1build2
eject	2.39.3-9ubuntu6.5
emacsen-common	3.0.5
enchant-2	2.3.3-2build2
eslint	6.4.0~dfsg+~6.1.9-11build3
espeak-ng-data:amd64	1.51+dfsg-12build1
ethtool	1:6.7-1build1
evolution-data-server	3.52.3-0ubuntu1.2
evolution-data-server-common	3.52.3-0ubuntu1.2
exfat-fuse	1.4.0-2
exfatprogs	1.2.2-1build1
exo-utils	4.18.0-1build4
expect	5.45.4-3
f3	8.0-2build2
fakeroot	1.33-1
fdisk	2.39.3-9ubuntu6.5
ffmpeg	7:6.1.1-3ubuntu5
ffmpegthumbnailer	2.2.2+git20240104+dfsg-1build1
file	1:5.45-3build1
file-roller	43.0+mint1+wilma
finalrd	9build1
findutils	4.9.0-5build1
fingwit	1.0.8+zena
firefox	149.0+linuxmint1+zena
firefox-locale-en	149.0+linuxmint1+zena
firmware-b43-installer	1:019-11ubuntu0.1
firmware-sof-signed	2023.12.1-1ubuntu1.10
flameshot	12.1.0-2build2
flatpak	1.14.6-1ubuntu0.1
fontconfig	2.15.0-1.1ubuntu2
fontconfig-config	2.15.0-1.1ubuntu2
fonts-dejavu-core	2.37-8
fonts-dejavu-mono	2.37-8
fonts-droid-fallback	1:6.0.1r16-1.1build1
fonts-liberation	1:2.1.5-3
fonts-mathjax	2.7.9+dfsg-1
fonts-noto-cjk	1:20230817+repack1-3
fonts-noto-color-emoji	2.047-0ubuntu0.24.04.1
fonts-noto-core	20201225-2
fonts-noto-mono	20201225-2
fonts-opensymbol	4:102.12+LibO24.2.7-0ubuntu0.24.04.4
fonts-ubuntu	0.869+git20240321-0ubuntu1
fonts-urw-base35	20200910-8
foomatic-db-compressed-ppds	20230202-1
fprintd	1.94.3-1
friendly-recovery	0.2.42
ftp	20230507-2build3
fuse-overlayfs	1.13-1
fuse3	3.14.0-5build1
fwupd	1.9.33-0ubuntu1~24.04.1ubuntu1
fwupd-signed	1.52+1.4-1
g++	4:13.2.0-7ubuntu1
g++-13	13.3.0-6ubuntu2~24.04.1
g++-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
g++-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gamemode	1.8.1-2build1
gamemode-daemon	1.8.1-2build1
gcc	4:13.2.0-7ubuntu1
gcc-13	13.3.0-6ubuntu2~24.04.1
gcc-13-base:amd64	13.3.0-6ubuntu2~24.04.1
gcc-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
gcc-14-base:amd64	14.2.0-4ubuntu2~24.04.1
gcc-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gcr	3.41.2-1build3
gcr4	4.2.0-5
gdb	15.1-1ubuntu1~24.04.1
gdisk	1.0.10-1build1
genisoimage	9:1.1.11-3.5
geocode-glib-common	3.26.3-6build3
geoip-database	20240403-1ubuntu1
gettext	0.21-14ubuntu2
gettext-base	0.21-14ubuntu2
gh	2.45.0-1ubuntu0.3
ghostscript	10.02.1~dfsg1-0ubuntu7.8
gir1.2-accountsservice-1.0:amd64	23.13.9-2ubuntu6
gir1.2-atk-1.0:amd64	2.52.0-1build1
gir1.2-atspi-2.0:amd64	2.52.0-1build1
gir1.2-ayatanaappindicator3-0.1	0.5.93-1build3
gir1.2-dbusmenu-glib-0.4:amd64	18.10.20180917~bzr492+repack1-3.1ubuntu5
gir1.2-dee-1.0:amd64	1.2.7+17.10.20170616-7build5
gir1.2-flatpak-1.0:amd64	1.14.6-1ubuntu0.1
gir1.2-freedesktop:amd64	1.80.1-1
gir1.2-gdkpixbuf-2.0:amd64	2.42.10+dfsg-3ubuntu3.2
gir1.2-girepository-2.0:amd64	1.80.1-1
gir1.2-glib-2.0:amd64	2.80.0-6ubuntu3.8
gir1.2-gmenu-3.0:amd64	3.36.0-1.1ubuntu3
gir1.2-gspell-1:amd64	1.12.2-1build4
gir1.2-gst-plugins-base-1.0:amd64	1.24.2-1ubuntu0.4
gir1.2-gstreamer-1.0:amd64	1.24.2-1ubuntu0.1
gir1.2-gtk-3.0:amd64	3.24.41-4ubuntu1.3
gir1.2-gtksource-3.0:amd64	3.24.11-2build4
gir1.2-gtksource-4:amd64	4.8.4-5build4
gir1.2-gtop-2.0:amd64	2.41.3-1ubuntu0.24.04.1
gir1.2-gudev-1.0:amd64	1:238-5ubuntu1
gir1.2-handy-1:amd64	1.8.3-1build2
gir1.2-harfbuzz-0.0:amd64	8.3.0-2build2
gir1.2-ibus-1.0:amd64	1.5.29-2
gir1.2-javascriptcoregtk-4.1:amd64	2.50.4-0ubuntu0.24.04.1
gir1.2-json-1.0:amd64	1.8.0-2build2
gir1.2-nm-1.0:amd64	1.46.0-1ubuntu2.6
gir1.2-nma-1.0:amd64	1.10.6+mint1+wilma
gir1.2-notify-0.7:amd64	0.8.3-1build2
gir1.2-packagekitglib-1.0	1.2.8+mint2+xia
gir1.2-pango-1.0:amd64	1.52.1+ds-1build1
gir1.2-peas-1.0:amd64	1.36.0-3build4
gir1.2-polkit-1.0	124-2ubuntu1.24.04.2
gir1.2-rb-3.0:amd64	3.4.7-2ubuntu6
gir1.2-secret-1:amd64	0.21.4-1build3
gir1.2-soup-2.4:amd64	2.74.3-6ubuntu1.6
gir1.2-soup-3.0:amd64	3.4.4-5ubuntu0.7
gir1.2-timezonemap-1.0:amd64	0.4.6-6ubuntu1
gir1.2-udisks-2.0:amd64	2.10.1-6ubuntu1.3
gir1.2-upowerglib-1.0:amd64	1.90.3-1
gir1.2-vte-2.91:amd64	0.76.0-1ubuntu0.1
gir1.2-webkit2-4.1:amd64	2.50.4-0ubuntu0.24.04.1
gir1.2-wnck-3.0:amd64	43.0-3build4
gir1.2-xapp-1.0	3.2.2+zena
gir1.2-xfconf-0:amd64	4.18.1-1build3
gir1.2-xkl-1.0:amd64	5.4-5build2
gir1.2-xmlb-2.0:amd64	0.3.18-1
gir1.2-xviewer-3.0	3.4.16+zena
git	1:2.43.0-1ubuntu7.3
git-man	1:2.43.0-1ubuntu7.3
gkbd-capplet	3.28.1-1build3
glib-networking-common	2.80.0-1build1
glib-networking-services	2.80.0-1build1
glib-networking:amd64	2.80.0-1build1
gnome-accessibility-themes	3.28-2ubuntu5
gnome-calculator	1:41.1+mint1+wilma
gnome-desktop3-data	44.0-5build2
gnome-disk-utility	46.0-1ubuntu3
gnome-keyring	46.1-2ubuntu0.2
gnome-keyring-pkcs11:amd64	46.1-2ubuntu0.2
gnome-menus	3.36.0-1.1ubuntu3
gnome-network-displays	0.92.1-2build2
gnome-online-accounts	3.50.4-0ubuntu2
gnome-online-accounts-gtk	3.50.10+zena
gnome-session-canberra	0.30-10ubuntu10
gnome-settings-daemon-common	46.0-1ubuntu1.24.04.1
gnome-system-tools	3.0.0+mint1+wilma
gnome-themes-extra-data	3.28-2ubuntu5
gnome-themes-extra:amd64	3.28-2ubuntu5
gnome-video-effects	0.6.0-1ubuntu1
gnupg	2.4.4-2ubuntu17.4
gnupg-utils	2.4.4-2ubuntu17.4
golang-1.22-go	1.22.2-2ubuntu0.4
golang-1.22-src	1.22.2-2ubuntu0.4
golang-github-containers-common	0.57.4+ds1-2ubuntu0.2
golang-github-containers-image	5.29.2-2
golang-go:amd64	2:1.22~2build1
golang-src	2:1.22~2build1
gparted	1.5.0-1build4
gparted-common	1.5.0-1build4
gperf	3.1-1build1
gpg	2.4.4-2ubuntu17.4
gpg-agent	2.4.4-2ubuntu17.4
gpgconf	2.4.4-2ubuntu17.4
gpgsm	2.4.4-2ubuntu17.4
gpgv	2.4.4-2ubuntu17.4
grep	3.11-4build1
grim	1.4.0+ds-2build2
groff-base	1.23.0-3build2
grub-common	2.12-1ubuntu7.3
grub-efi-amd64-bin	2.12-1ubuntu7.3
grub-efi-amd64-signed	1.202.5+2.12-1ubuntu7.3
grub-gfxpayload-lists	0.7build2
grub-pc	2.12-1ubuntu7.3
grub-pc-bin	2.12-1ubuntu7.3
grub2-common	2.12-1ubuntu7.3
gsettings-desktop-schemas	46.1-0ubuntu1
gsettings-ubuntu-schemas	0.0.7+21.10.20210712-0ubuntu3
gstreamer1.0-alsa:amd64	1.24.2-1ubuntu0.4
gstreamer1.0-clutter-3.0:amd64	3.0.27-4build1
gstreamer1.0-gl:amd64	1.24.2-1ubuntu0.4
gstreamer1.0-gtk3:amd64	1.24.2-1ubuntu1.3
gstreamer1.0-libav:amd64	1.24.1-1build1
gstreamer1.0-packagekit	1.2.8+mint2+xia
gstreamer1.0-pipewire:amd64	1.0.5-1ubuntu3.2
gstreamer1.0-plugins-bad:amd64	1.24.2-1ubuntu4
gstreamer1.0-plugins-base-apps	1.24.2-1ubuntu0.4
gstreamer1.0-plugins-base:amd64	1.24.2-1ubuntu0.4
gstreamer1.0-plugins-good:amd64	1.24.2-1ubuntu1.3
gstreamer1.0-plugins-ugly:amd64	1.24.1-1build1
gstreamer1.0-tools	1.24.2-1ubuntu0.1
gstreamer1.0-vaapi:amd64	1.24.2-1
gstreamer1.0-x:amd64	1.24.2-1ubuntu0.4
gtk-update-icon-cache	3.24.41-4ubuntu1.3
gtk2-engines-murrine:amd64	0.98.2-4
gtk2-engines-pixbuf:amd64	2.24.33-4ubuntu1.1
gucharmap	1:15.1.3-1build1
gufw	24.04.0-2
guidus	26.1.0-1ubuntu1
guvcview	2.0.8-2.1build3
gvfs-backends	1.54.4-0ubuntu1~24.04.2
gvfs-common	1.54.4-0ubuntu1~24.04.2
gvfs-daemons	1.54.4-0ubuntu1~24.04.2
gvfs-fuse	1.54.4-0ubuntu1~24.04.2
gvfs-libs:amd64	1.54.4-0ubuntu1~24.04.2
gvfs:amd64	1.54.4-0ubuntu1~24.04.2
gyp	0.1+20220404git9ecf45e-2
gzip	1.12-1ubuntu3.1
handlebars	3:4.7.7+~4.1.0-1
hdparm	9.65+ds-1build1
heif-gdk-pixbuf:amd64	1.17.6-1ubuntu4.2
hfsprogs	540.1.linux3-5build3
hicolor-icon-theme	0.17-2
hostname	3.23+nmu2ubuntu2
hplip	3.23.12+dfsg0-0ubuntu5
hplip-data	3.23.12+dfsg0-0ubuntu5
humanity-icon-theme	0.6.16
hunspell-en-us	1:2020.12.07-2
hwdata	0.379-1
hyphen-en-us	2.8.8-7build3
hypnotix	5.6
i965-va-driver:amd64	2.4.1+dfsg1-1ubuntu0.1
ideviceinstaller	1.1.1-1build4
ieee-data	20220827.1
ifuse	1.1.4~git20181007.3b00243-1ubuntu3
iio-sensor-proxy	3.5-1build2
im-config	0.57-2
imagemagick-6-common	8:6.9.12.98+dfsg1-5.2build2
indicator-common	16.10.0+18.04.20180321.1-0ubuntu8
indicator-sound	12.10.2+18.10.20180612-0ubuntu7
inetutils-telnet	2:2.5-3ubuntu4.1
info	7.1-3build2
init	1.66ubuntu1
init-system-helpers	1.66ubuntu1
initramfs-tools	0.142ubuntu25.8
initramfs-tools-bin	0.142ubuntu25.8
initramfs-tools-core	0.142ubuntu25.8
inputattach	1:1.8.1-2build1
install-info	7.1-3build2
intel-media-va-driver:amd64	24.1.0+dfsg1-1ubuntu0.2
intel-microcode	3.20260210.0ubuntu0.24.04.1
inxi	3.3.34-1-1
ipp-usb	0.9.24-0ubuntu3.3
iproute2	6.1.0-1ubuntu6.2
iptables	1.8.10-3ubuntu2
iputils-ping	3:20240117-1ubuntu0.1
iputils-tracepath	3:20240117-1ubuntu0.1
irqbalance	1.9.3-2ubuntu5
isc-dhcp-client	4.4.3-P1-4ubuntu2
isc-dhcp-common	4.4.3-P1-4ubuntu2
iso-codes	4.16.0-1
iso-flag-png	1.0.4
iucode-tool	2.3.1-3build1
iw	6.7-1build1
javascript-common	11+nmu1
jfsutils	1.1.15-5build4
kbd	2.6.4-2ubuntu2
kded5	5.115.0-0ubuntu5
kerneloops	0.12+git20140509-6ubuntu8
keyboard-configuration	1.226ubuntu1
keyboxd	2.4.4-2ubuntu17.4
